Date,IT Department,Cost Element,Country,Actual
11/01/2020,Administration,Employee Performance,USA,551
11/01/2020,Administration,External Labor,USA,"44,790"
11/01/2020,Administration,Hardware,USA,30
11/01/2020,Administration,Internal Labor,Germany,"2,037"
11/01/2020,Administration,Internal Labor,Italy,105
11/01/2020,Administration,Internal Labor,United Kingdom,"22,382"
11/01/2020,Administration,Internal Labor,USA,"98,699"
11/01/2020,Administration,Legal,USA,"1,244"
11/01/2020,Administration,Moving,USA,"2,653"
11/01/2020,Administration,Other,USA,"16,248"
11/01/2020,Administration,Outbound Allocations,United Kingdom,719
11/01/2020,Administration,Severance,Italy,49
11/01/2020,Administration,Software,USA,6
11/01/2020,Administration,Software Maintenance,USA,4
11/01/2020,Administration,Supplies,USA,46
11/01/2020,Administration,Telecomm,Italy,97
11/01/2020,Administration,Telecomm,USA,"1,057"
11/01/2020,Administration,Travel,USA,"14,253"
11/01/2020,Architecture,Depreciation,USA,693
11/01/2020,Architecture,Employee Performance,USA,979
11/01/2020,Architecture,External Labor,USA,425
11/01/2020,Architecture,Hardware Maintenance,USA,16
11/01/2020,Architecture,Internal Labor,USA,"43,526"
11/01/2020,Architecture,Other,USA,"-1,627"
11/01/2020,Architecture,Software,USA,11
11/01/2020,Architecture,Software Maintenance,USA,8
11/01/2020,Architecture,Supplies,USA,9
11/01/2020,Architecture,Taxes,USA,44
11/01/2020,Architecture,Telecomm,USA,289
11/01/2020,Architecture,Travel,USA,139
11/01/2020,Business Intelligence,Employee Performance,USA,146
11/01/2020,Business Intelligence,External Labor,USA,"20,734"
11/01/2020,Business Intelligence,Hardware,USA,26
11/01/2020,Business Intelligence,Internal Labor,USA,"52,862"
11/01/2020,Business Intelligence,Other,USA,8
11/01/2020,Business Intelligence,Software,USA,79
11/01/2020,Business Intelligence,Software Maintenance,USA,57
11/01/2020,Business Intelligence,Supplies,USA,20
11/01/2020,Business Intelligence,Telecomm,USA,343
11/01/2020,Core,Employee Performance,USA,73
11/01/2020,Core,External Labor,USA,"61,859"
11/01/2020,Core,Hardware,USA,215
11/01/2020,Core,Internal Labor,USA,"26,707"
11/01/2020,Core,Other,USA,236
11/01/2020,Core,Telecomm,USA,275
11/01/2020,Core,Travel,USA,"2,841"
11/01/2020,Core Infrastructure,Amortization,Mexico,"1,228"
11/01/2020,Core Infrastructure,Depreciation,Brazil,"11,642"
11/01/2020,Core Infrastructure,Depreciation,Canada,"4,969"
11/01/2020,Core Infrastructure,Depreciation,Mexico,"3,312"
11/01/2020,Core Infrastructure,Depreciation,New Zealand,"7,716"
11/01/2020,Core Infrastructure,Depreciation,Russia,15
11/01/2020,Core Infrastructure,Depreciation,USA,"3,905"
11/01/2020,Core Infrastructure,Employee Performance,USA,"1,065"
11/01/2020,Core Infrastructure,External Labor,Brazil,"45,141"
11/01/2020,Core Infrastructure,External Labor,Canada,"32,516"
11/01/2020,Core Infrastructure,External Labor,Mexico,"38,978"
11/01/2020,Core Infrastructure,External Labor,New Zealand,"102,874"
11/01/2020,Core Infrastructure,External Labor,South Africa,739
11/01/2020,Core Infrastructure,External Labor,USA,"215,544"
11/01/2020,Core Infrastructure,Hardware,Brazil,"1,278"
11/01/2020,Core Infrastructure,Hardware,Mexico,"43,116"
11/01/2020,Core Infrastructure,Hardware,New Zealand,"131,746"
11/01/2020,Core Infrastructure,Hardware,South Africa,668
11/01/2020,Core Infrastructure,Hardware,USA,26
11/01/2020,Core Infrastructure,Hardware Maintenance,Brazil,"2,086"
11/01/2020,Core Infrastructure,Hardware Maintenance,Canada,"1,744"
11/01/2020,Core Infrastructure,Hardware Maintenance,Mexico,"24,474"
11/01/2020,Core Infrastructure,Inbound Allocations,New Zealand,"10,236"
11/01/2020,Core Infrastructure,Inbound Allocations,South Africa,"2,062"
11/01/2020,Core Infrastructure,Internal Labor,Brazil,"9,179"
11/01/2020,Core Infrastructure,Internal Labor,Mexico,"3,147"
11/01/2020,Core Infrastructure,Internal Labor,New Zealand,"43,530"
11/01/2020,Core Infrastructure,Internal Labor,Switzerland,"7,262"
11/01/2020,Core Infrastructure,Internal Labor,USA,"39,034"
11/01/2020,Core Infrastructure,Moving,USA,415
11/01/2020,Core Infrastructure,Other,Brazil,"11,830"
11/01/2020,Core Infrastructure,Other,Canada,"9,667"
11/01/2020,Core Infrastructure,Other,Mexico,"12,264"
11/01/2020,Core Infrastructure,Other,New Zealand,"-28,071"
11/01/2020,Core Infrastructure,Other,South Africa,29
11/01/2020,Core Infrastructure,Other,USA,"-6,846"
11/01/2020,Core Infrastructure,Recognition,New Zealand,321
11/01/2020,Core Infrastructure,Recognition,USA,351
11/01/2020,Core Infrastructure,Severance,Brazil,315
11/01/2020,Core Infrastructure,Severance,Mexico,305
11/01/2020,Core Infrastructure,Severance,New Zealand,386
11/01/2020,Core Infrastructure,Software,Canada,469
11/01/2020,Core Infrastructure,Software,USA,"-58,411"
11/01/2020,Core Infrastructure,Supplies,Brazil,"2,964"
11/01/2020,Core Infrastructure,Supplies,Canada,"2,020"
11/01/2020,Core Infrastructure,Supplies,New Zealand,"2,008"
11/01/2020,Core Infrastructure,Supplies,USA,325
11/01/2020,Core Infrastructure,Taxes,Mexico,59
11/01/2020,Core Infrastructure,Taxes,USA,9
11/01/2020,Core Infrastructure,Telecomm,Brazil,"1,207"
11/01/2020,Core Infrastructure,Telecomm,Canada,"1,340"
11/01/2020,Core Infrastructure,Telecomm,Mexico,"1,800"
11/01/2020,Core Infrastructure,Telecomm,New Zealand,"32,565"
11/01/2020,Core Infrastructure,Telecomm,South Africa,"3,579"
11/01/2020,Core Infrastructure,Telecomm,Switzerland,173
