Date,IT Department,Cost Element,Country,Actual
04/01/2020,Administration,Employee Performance,USA,182
04/01/2020,Administration,External Labor,United Kingdom,"2,048"
04/01/2020,Administration,External Labor,USA,"31,261"
04/01/2020,Administration,Hardware,USA,24
04/01/2020,Administration,Hardware Maintenance,USA,"86,480"
04/01/2020,Administration,Internal Labor,Germany,"5,243"
04/01/2020,Administration,Internal Labor,Italy,"4,409"
04/01/2020,Administration,Internal Labor,United Kingdom,"22,211"
04/01/2020,Administration,Internal Labor,USA,"92,221"
04/01/2020,Administration,Legal,USA,"1,759"
04/01/2020,Administration,Moving,USA,"12,611"
04/01/2020,Administration,Other,Italy,3
04/01/2020,Administration,Other,USA,"8,125"
04/01/2020,Administration,Outbound Allocations,United Kingdom,714
04/01/2020,Administration,Severance,Italy,332
04/01/2020,Administration,Software Maintenance,USA,269
04/01/2020,Administration,Supplies,USA,244
04/01/2020,Administration,Telecomm,Italy,13
04/01/2020,Administration,Telecomm,USA,"1,140"
04/01/2020,Administration,Travel,USA,"10,570"
04/01/2020,Administration,Vehicles,United Kingdom,230
04/01/2020,Architecture,Depreciation,USA,693
04/01/2020,Architecture,Employee Performance,USA,330
04/01/2020,Architecture,Internal Labor,USA,"41,175"
04/01/2020,Architecture,Other,USA,"-1,583"
04/01/2020,Architecture,Software Maintenance,USA,539
04/01/2020,Architecture,Supplies,USA,79
04/01/2020,Architecture,Taxes,USA,44
04/01/2020,Architecture,Telecomm,USA,178
04/01/2020,Architecture,Training,USA,315
04/01/2020,Business Intelligence,CAPEX,USA,336
04/01/2020,Business Intelligence,Employee Performance,USA,4
04/01/2020,Business Intelligence,External Labor,USA,"8,371"
04/01/2020,Business Intelligence,Hardware,USA,4
04/01/2020,Business Intelligence,Internal Labor,USA,"64,353"
04/01/2020,Business Intelligence,Other,USA,12
04/01/2020,Business Intelligence,Software Maintenance,USA,"3,772"
04/01/2020,Business Intelligence,Supplies,USA,136
04/01/2020,Business Intelligence,Telecomm,USA,111
04/01/2020,Business Intelligence,Training,USA,884
04/01/2020,Business Intelligence,Travel,USA,659
04/01/2020,Core,Employee Performance,USA,53
04/01/2020,Core,External Labor,USA,"4,573"
04/01/2020,Core,Internal Labor,USA,"20,209"
04/01/2020,Core,Other,USA,24
04/01/2020,Core,Telecomm,USA,340
04/01/2020,Core,Travel,USA,"2,607"
04/01/2020,Core Infrastructure,Amortization,Mexico,"1,351"
04/01/2020,Core Infrastructure,Depreciation,Brazil,"12,224"
