Date,IT Department,Cost Element,Country,Actual
09/01/2020,Administration,Employee Performance,USA,159
09/01/2020,Administration,External Labor,United Kingdom,487
09/01/2020,Administration,External Labor,USA,808
09/01/2020,Administration,Internal Labor,Germany,"2,074"
09/01/2020,Administration,Internal Labor,Italy,"3,694"
09/01/2020,Administration,Internal Labor,United Kingdom,"23,168"
09/01/2020,Administration,Internal Labor,USA,"90,921"
09/01/2020,Administration,Legal,USA,195
09/01/2020,Administration,Moving,USA,"2,265"
09/01/2020,Administration,Other,USA,"6,908"
09/01/2020,Administration,Outbound Allocations,United Kingdom,725
09/01/2020,Administration,Severance,Italy,311
09/01/2020,Administration,Software,USA,"20,310"
09/01/2020,Administration,Software Maintenance,USA,867
09/01/2020,Administration,Supplies,USA,160
09/01/2020,Administration,Telecomm,Italy,77
09/01/2020,Administration,Telecomm,USA,443
09/01/2020,Administration,Training,USA,473
09/01/2020,Administration,Travel,USA,"6,012"
09/01/2020,Architecture,Depreciation,USA,693
09/01/2020,Architecture,Employee Performance,USA,11
09/01/2020,Architecture,External Labor,USA,"2,873"
09/01/2020,Architecture,Hardware,USA,862
09/01/2020,Architecture,Internal Labor,USA,"39,391"
09/01/2020,Architecture,Other,USA,463
09/01/2020,Architecture,Software,USA,11
09/01/2020,Architecture,Software Maintenance,USA,8
09/01/2020,Architecture,Supplies,USA,3
09/01/2020,Architecture,Taxes,USA,44
09/01/2020,Architecture,Telecomm,USA,301
09/01/2020,Architecture,Training,USA,105
09/01/2020,Architecture,Travel,USA,20
09/01/2020,Business Intelligence,Employee Performance,USA,175
09/01/2020,Business Intelligence,External Labor,USA,"16,451"
09/01/2020,Business Intelligence,Hardware,USA,"1,487"
09/01/2020,Business Intelligence,Hardware Maintenance,USA,91
09/01/2020,Business Intelligence,Internal Labor,USA,"57,810"
09/01/2020,Business Intelligence,Other,USA,37
09/01/2020,Business Intelligence,Software,USA,"2,801"
09/01/2020,Business Intelligence,Software Maintenance,USA,57
09/01/2020,Business Intelligence,Supplies,USA,84
09/01/2020,Business Intelligence,Telecomm,USA,258
09/01/2020,Business Intelligence,Travel,USA,513
09/01/2020,Core,External Labor,USA,"68,662"
09/01/2020,Core,Internal Labor,USA,"19,694"
09/01/2020,Core,Telecomm,USA,179
09/01/2020,Core Infrastructure,Amortization,Mexico,"1,291"
09/01/2020,Core Infrastructure,Depreciation,Brazil,"12,416"
09/01/2020,Core Infrastructure,Depreciation,Canada,"8,546"
09/01/2020,Core Infrastructure,Depreciation,Mexico,"3,483"
